"","map_version","biome","type","ME_mean","ME_sd","MAE_mean","MAE_sd","MSE_mean","MSE_sd","RMSE_mean","RMSE_sd","NSE_mean","NSE_sd","R2_mean","R2_sd"
"1","v000","Brasil","Clay",0.222963,0.0444009296813215,5.204405,0.0251601070118647,50.561347,0.523145394251218,7.110553,0.0367581350990443,0.879587,0.00124945685169293,0.883666,0.00126237070545058
"2","v000","Brasil","Sand",-0.322637,0.0341576104923259,6.048801,0.0178202783991222,73.545646,0.573733415978275,8.575813,0.0334484214874184,0.90291,0.000757254477328687,0.903062,0.00082336829762589
"3","v000","Brasil","Silt",0.099675,0.037022050145416,4.141632,0.0202054492099972,33.269781,0.385428440002326,5.7679,0.0334162272320536,0.862701,0.00158856361013159,0.880088,0.00153703637174948
"4","v001","Brasil","Clay",0.2571,0.0418603522549571,5.153069,0.0263024317921712,49.675755,0.514710144453197,7.04801,0.0364985913662044,0.8817,0.00122160682395083,0.886349,0.00122462074112598
"5","v001","Brasil","Sand",-0.345349,0.0328486689151166,5.958584,0.0176127061572553,71.503418,0.571185025724696,8.4559,0.0337736912732711,0.905603,0.000754040295791123,0.905561,0.000828762616644519
"6","v001","Brasil","Silt",0.08825,0.0357342930106319,4.0875,0.0227154955344086,32.253762,0.378349853805638,5.679141,0.0332850198204004,0.866899,0.00156162923211172,0.884229,0.00141573373916214
"7","v002","Brasil","Clay",0.239772,0.0430278394258481,5.106452,0.0238468068717763,48.929595,0.430829939820174,6.994904,0.0308191856813351,0.883474,0.0010237206847593,0.887848,0.00115088722911561
"8","v002","Brasil","Sand",-0.334415,0.0364741540565565,5.902816,0.0182519057812182,70.508144,0.526814617561783,8.39686,0.0313663687874304,0.906911,0.000694406948482667,0.906923,0.000761823304628279
"9","v002","Brasil","Silt",0.094641,0.0330365029057621,4.036576,0.0228548035310839,31.717723,0.369184700114983,5.631752,0.0327804341741604,0.869111,0.00152798110676351,0.885976,0.00145046979501906
"10","v003","Brasil","Clay",0.279798,0.0444799557172223,5.181254,0.0242951066278913,50.177495,0.499192151496958,7.083521,0.0352381659912125,0.880502,0.00118611325195559,0.885595,0.00126565948793265
"11","v003","Brasil","Sand",-0.364043,0.0334028222814126,5.995658,0.0184968584829255,71.989677,0.568405793986457,8.484605,0.0334926929314139,0.90496,0.000749275744578818,0.904711,0.000854210604930516
"12","v003","Brasil","Silt",0.084247,0.0345890344479346,4.113501,0.0229828372284779,32.582777,0.371013418269965,5.70804,0.0324998306133892,0.86554,0.00153570304368515,0.883679,0.00139640917565684
